content,sender,words
"#跟着外刊学翻译#   背景：英国和欧盟脱欧议程因新冠病毒推迟，可能会造成延迟脱欧。   ①There are plenty of reasons to delay. ②For a start, the two sides are already far apart. ③Britain opposes EU proposals for strict conditions on unfair competition, and to allow European boats to fish in its waters. ④With covid-19 consuming the British government’s attention, it is hardly an ideal time to thrash out compromises. Charles Grant of the Centre for European Reform, a think-tank, notes that EU minds are also elsewhere, as they confront the serious risks to the bloc’s economy and the potential for destabilisation. “The chances of getting a deal fixed in time are diminishing,” he notes. “An extension is more likely.”   分析之前，给大家介绍一下这段话的前文讲了什么，英国和欧盟的脱欧谈判推迟了。而这一段主要分析了推迟谈判的理由。   翻译分析： ①There are plenty of reasons to delay 这句话明显是这一整段的主题。我们在英译中翻译的时候要牢记住一点，英文中的第一句如果给出了一个观点或主题，那么基本上接下来的每一句话都是在为这个观点或主题服务的。 像是这段话，第一句说推迟谈判的原因有很多，那下面陈述的应该是各种具体的原因。   那我们带着这种想法来看下面一句话： ②For a start, the two sides are already far apart. 这句话表面讲的是，双方有了分歧，但是没具体说是关于什么的分歧，再联系第一句话“推迟谈判的原因有很多”，那我们就可以轻易推断出，应该是双方在脱欧谈判上产生了分歧。   看到分歧这里，小伙伴们会不会好奇产生了什么分歧呢？ 我们顺着逻辑，来看下一句话：③Britain opposes EU proposals for strict conditions on unfair competition, and to allow European boats to fish in its waters. 我们上一句说到，脱欧谈判上产生了分歧，这一句又说英国反对欧盟的提议，那么这句话应该是说，在谈判时，欧盟提出的协议，英国不同意，这就是他们的分歧。讲到这里，我们不难发现，作者的逻辑很严密，一环扣着一环，只要我们顺着逻辑往下推，基本上很多理解难题，都能迎刃而解。   另外这句话后半句 and to allow European boats to fish in its waters. 很容易产生误解，千万不要理解为英国允许欧盟船只在自己领海里捕鱼，第一这种理解不和常识，英国都要脱欧了，怎么还能让欧盟到自己的地盘捕鱼呢？其次，结构上说不通，to allow European boats to fish in its waters 跟的是oppose EU proposals这种用法，注意这里的proposals是复数哦，指的是strict conditions 和 to allow European boats to fish in its waters。   下面的两句话都比较好理解，讲的是双方各自都为其它的事情烦心，顾不上谈判。 这里交给大家一个比较省心的方法，如果大家实在没办法根据逻辑推出来原文的意思，也可以去网上查找欧盟和英国关于脱欧的分歧点，了解一下背景知识，就更容易理解原文啦，但是这种方法，不利于大家锻炼自己的逻辑推理能力，建议非必要时不要用。   整合一下信息，这段话，小编把它翻译为： 推迟谈判的原因有很多。首先，双方谈判时产生了严重分歧。欧盟提议要严格限制不公平竞争，允许欧盟成员国的船只在英国领海捕鱼，遭到了英国的反对。而且英国正忙于对付新冠病毒，近期还不是商讨妥协方案的最佳时机。智库欧洲改革中心的查尔斯•格兰特指出，欧盟的关注点也在别处，因为欧盟面临着严峻的经济风险，以及潜在的不稳定因素。他表示“及时达成协议的可能性越来越小，大概率会延期脱欧。”",认证个人,跟着 外刊 翻译 背景 英国 议程 推迟 延迟 分析 介绍 前文 英国 谈判 推迟 分析 推迟 谈判 理由 翻译 分析 整段 主题 英译中 翻译 牢记 英文 给出 观点 主题 观点 主题 服务 像是 推迟 谈判 原因 陈述 原因 想法 表面 分歧 分歧 推迟 谈判 原因 轻易 谈判 分歧 分歧 小伙伴 好奇 分歧 逻辑 谈判 分歧 英国 提议 谈判 提出 协议 英国 分歧 发现 作者 逻辑 严密 环扣 逻辑 下推 理解 难题 理解 英国 船只 领海 捕鱼 理解 常识 英国 脱欧 地盘 捕鱼 结构 不通 用法 复数 理解 事情 烦心 谈判 交给 省心 方法 实在 办法 逻辑 推出 原文 查找 英国 分歧点 背景 知识 理解 原文 方法 不利于 锻炼 逻辑推理 能力 建议 整合 信息 翻译 推迟 谈判 原因 谈判 分歧 提议 成员国 船只 英国 领海 捕鱼 英国 英国 忙于 对付 商讨 妥协 方案 智库 欧洲 改革 中心 查尔斯 格兰特 指出 关注点 面临 严峻 经济 风险 稳定 因素 达成协议 可能性 概率 延期
#韩国疫情#【#韩国累计确诊346例新冠肺炎病例# “超级传播事件”受关注】就在日本因“钻石公主”号等新冠肺炎疫情引发外界关注之际，韩国疫情这两天突现恶化之势。21日全天，韩国宣布新增100例确诊病例。22日上午，韩国又宣布新增142例确诊病例。至此，韩国累计确诊346例，其中2例死亡。确诊病例中，大部分关联韩国东南部城市大邱一起“超级传播事件”。面对疫情恶化之势，韩国政府采取了哪些措施？民众目前如何应对？“超级传播事件”又是怎么一回事？详戳：http://t.cn/A6hnBWJ3  http://t.cn/A6hnB82r,认证个人,韩国 韩国 累计确诊 传播 事件 关注 日本 钻石 公主 引发 外界 关注 韩国 突现 恶化 韩国 新增 韩国 新增 韩国 累计确诊 死亡 关联 韩国 城市 大邱 传播 事件 面对 恶化 韩国政府 措施 民众 应对 传播 事件 回事
"#祖国反黑站[超话]#  【#特朗普讲话稿新冠病毒被手写改成中国病毒#】据美国有线电视新闻网（CNN）报道,美国总统特朗普3月19日有关新冠病毒的讲话稿中，有人划掉了冠状病毒中的“Corona”一词，代之以“Chinese”。这张照片是由《华盛顿邮报》的摄影师耶宾·博茨福德拍摄的。CNN报道说，尽管特朗普一开始称赞中国政府应对疫情的努力，但近几日语气发生了变化。随着美国发病数的与日俱增，美国政府此时正加紧努力，将中国作为#新型冠状病毒#传播的替罪羊。CNN认为，“中国病毒”一词是不准确的，而且被认为是带有侮辱性的。http://t.cn/A6zRkqNE",认证个人,祖国 反黑 超话 特朗普 讲话稿 手写 改成 病毒 美国有线电视新闻网 报道 总统 特朗普 讲话稿 划掉 代之以 照片 华盛顿邮报 摄影师 耶宾 博茨 福德 拍摄 报道 特朗普 称赞 中国政府 应对 努力 语气 发生 变化 发病 美国政府 新型 传播 替罪羊 病毒 准确 带有 侮辱性
春暖花开驱新冠，万众一心赢疫战！#宝鸡爆料##非物质文化遗产##中国加油#,认证个人,赢疫 宝鸡 爆料 物质 文化遗产 加油
《历史告诉我们，为什么必须找到新冠零号病人》在中国抗疫取得阶段胜利以后，现在科学界最重要的任务，除了加快研发疫苗，寻找新冠肺炎的零号病人也应该是重中之重的任务。http://t.cn/A6wLPIm8,认证个人,历史 告诉 找到 零号 病人 抗疫 阶段 胜利 科学界 加快 疫苗 寻找 零号 病人
#凤凰新闻#分享凤凰新闻：刊登“新冠病毒回美国”诗作？中学生导报澄清：刊号被盗用刊诗“新冠病毒回美国”？中学生导报回应：刊号被盗用 报警吧，这是一个严重的问题，如果是杂志社的问题，可以封刊了，如果是盗用，非法出版物，可以治罪了！[怒]#中学生导报否认刊登不当诗作#,认证个人,凤凰 新闻 分享 凤凰 新闻 刊登 诗作 中学生 导报 澄清 刊号 被盗 用刊 中学生 导报 回应 刊号 被盗 报警 杂志社 封刊 盗用 出版物 治罪 中学生 导报 否认 刊登 诗作
关于新冠肺炎的最新判断，一图读懂！ http://t.cn/A67xh58Y,认证个人,判断 读懂
2020是一个神奇的年份，新冠肺炎爆发，按照民俗，刚好不宜拜年。,认证个人,神奇 年份 爆发 民俗 不宜 拜年
#梅州[超话]##梅州爆料# 【疫情期间沐足打麻将？你咋不上天呢？丨以案说法】因为宅家无聊，梅州五华的梅姐、万哥、杨老板最近都被行政拘留了。究竟是怎么回事呢？#广东抗击肺炎疫情##全国确诊新型肺炎病例# 详情→ 疫情期间沐足打麻将？你咋不上天呢？|以案说法（南方+） 坪山发布的微博视频,认证个人,梅州 超话 梅州 爆料 沐足 打麻将 说法 宅家 无聊 梅州 五华 梅姐 老板 广东 抗击 全国 详情 沐足 打麻将 说法 坪山 发布
最近深圳天气反常，好冷～ 全球新冠肺炎，每天都有人死亡！  祈愿世界和平安宁🙏、无有灾厄！疫情早退！祈愿众生自种善因、自利利他、愿自他生命一切圆满！ 深圳 显示地图,认证个人,深圳 天气 全球 死亡 祈愿 世界 和平 安宁 无有 灾厄 早退 祈愿 众生 自利 生命 圆满 深圳
今日，全国哀悼。此刻，一起缅怀，为逝去的同胞！#哀悼抗击新冠疫情牺牲烈士和逝世同胞#,认证个人,全国 哀悼 缅怀 逝去 同胞 哀悼 抗击 牺牲 烈士 逝世 同胞
#美到心间的话[超话]#谷雨源自古人“雨生百谷”之说，是播种移苗、埯瓜点豆的最佳时节，也是春天最后一个节气。暮春回望，愿你未曾辜负春光。#生活##美食##旅游##抗击新型肺炎我们在行动##不可辜负的美食##旅游嘉年华##理想生活季# 乌鲁木齐 显示地图,认证个人,心间 超话 谷雨 源自 古人 雨生 百谷 播种 移苗 时节 节气 回望 辜负 春光 生活 美食 旅游 抗击 辜负 美食 旅游 嘉年华 理想 生活 乌鲁木齐
#治疗性新冠特免血浆制品已投入临床##患者康复后体内含抗体# 病毒🦠是有核酸与蛋白构成的，后者包括核衣壳、膜蛋白以及表面的刺突等，目前的分析表明该病毒是通过刺突与细胞表面的ACE结合发挥作用的，从而入侵细胞。但病毒进入人体后，其不同蛋白都有相应刺激机体，进而产生多种抗体，其中刺突蛋白刺激所产生的抗体最为有用，其为中和抗体，能竞争性结合刺突，阻止病毒进入细胞；而别的分子产生的抗体，例如核衣壳，是可以干扰病毒复制的，也有一定效果。 但同时要注意，这些分子属于外来物（本质是蛋白）也可能会引起机体反应 http://t.cn/A6hqPrH2,认证个人,治疗 血浆 制品 投入 临床 康复 抗体 病毒 核酸 蛋白 包括 衣壳 膜蛋白 表面 刺突 分析表明 病毒 刺突 细胞 表面 发挥作用 入侵 细胞 病毒 人体 蛋白 刺激 机体 抗体 蛋白 刺激 抗体 有用 中和 抗体 竞争性 阻止 病毒 细胞 分子 抗体 衣壳 干扰 病毒 复制 效果 分子 本质 蛋白 机体
从新冠疫情暴露出的种种问题来看，（比如隐瞒武汉疫区接触史，比如到公共场所不戴口罩，比如哄抢或哄抬防护用品）很有必要尽快建立诚信积分机制，和驾照一样扣分，关联到个人就医、乘坐公共交通、购房、信贷等方方面面！@盐城米老板 @盐城人不知道的盐城事儿 @盐城晚报的微博 盐城 显示地图,认证个人,隐瞒 武汉 疫区 接触 公共场所 戴口罩 哄抢 哄抬 防护用品 建立 诚信 积分 机制 驾照 扣分 关联 就医 乘坐 公共交通 购房 信贷 方方面面 盐城 老板 盐城人 盐城 事儿 盐城 晚报 盐城
美国新冠肺炎感染病例超84万，2月初已有死亡病例http://t.cn/A6wuwjyH,认证个人,感染病例 已有 死亡病例
#孟博龙[超话]#  【4.4 禁娱公告】 为表达全国各族人民对抗击新冠肺炎疫情斗争牺牲烈士和逝世同胞的深切哀悼，明日将举行全国性哀悼活动，明日超话禁止发布一切帖子，望周知。,认证个人,孟博龙 超话 禁娱 公告 表达 全国 抗击 斗争 牺牲 烈士 逝世 同胞 深切 哀悼 全国性 哀悼 活动 超话 禁止 发布 帖子 周知
#汤姆汉克斯夫妇感染新冠肺炎#著名好莱坞影帝新冠肺炎确诊，细看他的一生真的牛！愿他早日康复 著名好莱坞影帝新冠肺炎确诊，细看他的一生真的牛！愿他早日康复,认证个人,汤姆 汉克斯 夫妇 著名 好莱坞 影帝 细看 著名 好莱坞 影帝 细看
【历史上首次！#美国50个州全部进入重大灾难状态#】美国总统特朗普11日批准怀俄明州为新冠疫情“重大灾难状态”，这意味着美国所有50个州、首都华盛顿特区以及美属维尔京群岛、北马里亚纳群岛、关岛和波多黎各4个海外领地都进入“重大灾难状态”，这是美国历史上的首次。（央视新闻）,认证个人,历史 灾难 状态 总统 特朗普 批准 怀俄明州 灾难 状态 意味着 华盛顿 特区 美属 维尔京群岛 北马里亚纳群岛 关岛 波多黎各 领地 灾难 状态 历史 新闻
#姆巴佩新冠肺炎检测结果为阴性#这是足球迷们最愿意看到的结果  来吧！继续上演神龟提速[酷]#春风体育课# 德智体的微博视频,认证个人,姆巴 检测 阴性 足球迷 上演 神龟 提速 春风 体育课 德智体
印度向联合国人权理事会起诉中国赔偿国际社会新冠损失。。印度阿三疯了啊？,认证个人,印度 联合国 人权 理事会 起诉 赔偿 国际 社会 损失 印度 阿三
【俄媒说了大实话：#当初批评中国的防疫措施西方都用了#[吃瓜]】日前，在今日俄罗斯（RT）的一则视频报道中，主持人用幽默犀利的语言戳破了西方媒体“客观理性”的假象。主持人说，“还记得只有中国一国抗击新冠疫情的时候吗？那时候西方可是鼓足了劲儿批评中国应对危机的方法。如今，他们却又开始纷纷效仿中国。” http://t.cn/A6zFH5zO,认证个人,实话 批评 防疫 措施 俄罗斯 报道 主持人 幽默 犀利 语言 戳破 媒体 客观 理性 假象 主持人 记得 抗击 鼓足 劲儿 批评 应对 危机 方法 效仿
今天晚上学到两个中药方剂，一个叫：麻杏石甘汤，一个叫：连花清瘟，都是治疗流感的有效中药。尤其连花清瘟胶囊，不但可以治疗流感，还可以治疗新冠肺炎。 连花清瘟颗粒，中成药名。由连翘、金银花、炙麻黄、炒苦杏仁、石膏、板蓝根、绵马贯众、鱼腥草、广藿香、大黄、红景天、薄荷脑、甘草组成。具有清瘟解毒，宜肺泄热的功效。用于治疗流行性感冒属热毒袭肺证，症见：发热或高热，恶寒，肌肉酸痛，鼻塞流涕，咳嗽，头痛，咽干咽痛，舌偏红，苔黄或黄腻等。 http://t.cn/RARm1XH显示地图,认证个人,学到 中药 方剂 麻杏石 甘汤 连花清 治疗 流感 中药 连花清 胶囊 治疗 流感 治疗 连花清 颗粒 中成药 连翘 金银花 麻黄 石膏 板蓝根 鱼腥草 红景天 薄荷脑 甘草 解毒 功效 用于 治疗 流行性 感冒 症见 发热 高热 肌肉 酸痛 鼻塞 流涕 咳嗽 头痛 咽干 咽痛 黄腻
"美国所有传染病专家达成共识: 新冠病毒或将在18个月内感染20-60％的人口, 我们该怎么准备",认证个人,传染病 专家 达成 共识 人口
比尔·盖茨TED直播演讲：如何应对新冠肺炎全球大流行？学中国！ 3个月底，应TED Connects节目邀请，比尔·盖茨参加了一期TED演讲大会。在近一个小时的直播中，盖茨分享了“新冠肺炎”有关的问题。 TED英语演说的微博视频,认证个人,比尔 盖茨 直播 演讲 应对 全球 流行 节目 邀请 比尔 盖茨 参加 演讲 大会 小时 直播 盖茨 分享 英语 演说
#张云雷[超话]#@小辫儿张云雷 #致敬疫情前线医护人员#  致辫哥哥和丫头们： 如果丫头们有回家的，要有意识的隔离自己半个月，60.70后玩微博的人很少，所以就靠80.90·00后告诉家人朋友一声，这次的新型肺炎潜伏期长，不要掉以轻心。虽然说，回家是为了团聚，但是想想抗击在一线的英雄们，既然帮不了他们，就尽一己之力，真真正正的做到与世隔绝。  不去公共场合，如果非去不可，请戴口罩，不要高估自己的免疫力。  经营者不要哄抬物价，如果有，市民请拨打12315投诉举报。一旦核实，必重罚！  病从口入，此次新型肺炎病毒来源就是海鲜市场销售的野生动物。大自然对人类的惩罚，是我们不能承受之重。如果一味地一意孤行，与大自然背道而驰，后果真的会不堪设想。不仅仅是饮食。  图片来源于网络  http://t.cn/RU1yHze显示地图,认证个人,张云雷 超话 小辫儿 张云雷 致敬 前线 医护人员 哥哥 丫头 丫头 回家 隔离 告诉 家人 朋友 潜伏期 回家 团聚 想想 抗击 英雄 帮不了 真真正正 公共场合 戴口罩 高估 免疫力 经营者 市民 拨打 投诉 举报 核实 重罚 病毒 来源 海鲜市场 销售 野生动物 人类 惩罚 承受 后果 饮食 图片 来源于 网络
今天石家庄市副市长孟祥红来到渝乡辣婆婆川越食空店，看望为石家庄市第五医院（定点收治新冠肺炎的医院）免费提供餐饮服务的员工，充分给予了肯定，鼓励我们做好工作，并随送餐车到了第五医院，视察了整个送餐过程。一周之内有两位市领导先后到我们企业来视察指导，充分体现了对我们的关怀，坚定了我们服务民生，奉献社会，生产自救的决心！ http://t.cn/z8y9Fr3显示地图,认证个人,石家庄市 市长 孟祥红 来到 渝乡 婆婆 空店 看望 石家庄市 医院 定点 收治 医院 免费 提供 餐饮 服务 员工 给予 肯定 鼓励 做好 工作 餐车 医院 视察 送餐 过程 领导 企业 视察 指导 充分体现 关怀 坚定 服务 民生 奉献 社会 生产自救 决心
#许昌身边事# 【数据“多跑路” 企业“少跑腿” 许昌市建安区首个远程招标项目顺利开标】 3月18日，建安区首个远程招标项目——“新元街道办事处办公用房物业费年费用公开招标项目”顺利开标。这是建安区加快政务改革、创新服务方式的举措之一。  今年以来，建安区公共资源交易中心为克服新冠肺炎疫情带来的不利影响，创新实施“互联网+招投标”工作模式，开发了“远程不见面开标”智能系统，推出了网上办理招投标业务，投标人无须到达开标和评标现场，只需在线参加开标和评标，接受现场监督与网上监督，就可以完成招投标过程。  疫情期间，为确保疫情防控与项目交易“两手抓”“两不误”，建安区公共资源交易中心立足公共服务职能定位，充分发挥软硬件优势，积极应对、科学安排，先后发布《关于交易现场疫情防控工作预案》和《关于有序恢复招投标活动的通知》，加快全流程电子化招投标项目测试投用，确保交易“不见面”、服务“不掉线”。  此举打破了常规招标模式，打通了电子化招投标“最后一公里”，提高了办事效率和透明度，实现了数据“多跑路”、企业“少跑腿”，优化了营商环境，推动了建安区公共资源交易事业高质量发展。,认证个人,许昌 数据 企业 跑腿 许昌市 建安 远程 招标 项目 顺利 开标 建安 远程 招标 项目 新元 街道 办事处 办公用房 物业费 费用 公开招标 项目 顺利 开标 建安 加快 政务 改革 创新 服务 方式 举措 建安 公共资源 交易中心 克服 带来 不利 影响 创新 实施 互联网 工作 模式 开发 远程 见面 开标 智能 系统 推出 办理 业务 投标人 到达 开标 评标 现场 参加 开标 评标 接受 现场 监督 监督 过程 确保 疫情防控 项目 交易 建安 公共资源 交易中心 公共服务 职能 定位 充分发挥 优势 应对 科学安排 发布 交易 现场 疫情防控 工作预案 有序 恢复 活动 通知 加快 流程 电子化 项目 测试 投用 确保 交易 见面 服务 掉线 打破 常规 招标 模式 打通 电子化 提高 办事效率 透明度 数据 企业 跑腿 优化 营商 环境 推动 建安 公共资源 交易 事业 高质量 发展
动次打次，在家动起来之18！免疫力是对抗新冠病毒最好的“良药”！运动要一直坚持！ 家有西贝的微博视频,认证个人,打次 免疫力 对抗 良药 运动 西贝
这么大的国家，睁眼说瞎话，只能自欺欺人！【#中国驻美大使用事实力驳美国抹黑#：这么大的国家 是没法隐瞒疫情的】近日，崔天凯大使在华盛顿接受欧亚集团总裁布雷默主持的GZERO WORLD节目连线采访，就新冠疫情、媒体关系、中美关系等回答了提问。被问及如何回应美国政府指控中国“隐瞒疫情”时，崔天凯用事实当场力驳。http://t.cn/A6wt8ihT @海客新闻,认证个人,国家 睁眼 只能 美大 实力 抹黑 国家 没法 隐瞒 崔天凯 大使 华盛顿 接受 欧亚 集团 总裁 布雷默 主持 节目 连线 采访 媒体 关系 中美关系 回答 提问 问及 回应 美国政府 指控 隐瞒 崔天凯 事实 力驳 海客 新闻
#新款冠道上市# 不是我一个人看成了新冠上市哦[哼],认证个人,新款 冠道 上市 看成 上市
#湖人两名球员确诊新冠肺炎#该来的还是来了，不该发生的也发生了[心] V体育控的微博视频,认证个人,湖人 球员 不该 发生 发生 体育
全美共报告新冠肺炎确诊1010717例，死亡58365例，在过去24小时，美国新增确诊25343例，新增死亡2459例……（人民日报）,认证个人,全美 报告 死亡 小时 新增确诊 新增 死亡 人民日报
#50万美国人狼嚎解压#阔怜的霉国老百姓，都被美哀公坑惨了。 美哀公一直在甩锅给WHO，说WHO“反应迟钝”。  从1月30日开始，美哀公谈论新冠病毒时就一副不以为然的亚子。  2月10日时他还说4月病毒会消失（结果到4月上旬霉国就死了1.46万人），2月26日他当众说霉国人感染新冠肺炎的风险极低，2月28日他演讲时说“这是个新的骗局”……  如今，霉国是确认病例最多的国家，达46万例，死亡16294例。#网络名人同心战疫#,认证个人,狼嚎 解压 阔怜 霉国 老百姓 美哀 公坑 美哀公 美哀公 谈论 亚子 病毒 消失 霉国 当众 国人 风险 演讲时 骗局 霉国 确认 最多 国家 死亡 网络 名人 同心 战疫
干啥啥不行，蹭热度你就第一名🥇，4月6号，一名埃及律师要求中国政府因为新冠病毒带来的损失赔偿埃及10兆美元，状纸递到了吉萨省法院[傻眼][傻眼][傻眼]   看来川总统的粉丝遍布全球呀…… #埃及疫情##海外抗疫日记# 埃及·亚历山大港 显示地图,认证个人,不行 热度 埃及 律师 中国政府 带来 损失赔偿 埃及 状纸 递到 吉萨省 法院 傻眼 傻眼 傻眼 总统 粉丝 遍布 全球 埃及 抗疫 日记 埃及 亚历山大港
#全国确诊新型肺炎病例#[加油]加油武汉！[加油]加油中国！🙏🇨🇳#疫情联防联控实时播报##新型冠状病毒对所有年龄组都易感# 艺海核雕-黄树立的微博视频,认证个人,全国 加油 加油 武汉 加油 加油 联防 播报 新型 年龄组 艺海 核雕 树立
第三次世界大战—新冠大战,认证个人,世界大战 大战
#娱乐明星##综艺##娱乐综艺##娱乐##娱乐八卦#为什么我们不会很快用上新冠疫苗？44年前美国有过惨痛教训,认证个人,娱乐 明星 综艺 娱乐 综艺 娱乐 娱乐 八卦 新冠疫苗 惨痛教训
#你我同为人类#从我做起，从自己做起～～ 新冠肺炎下，留学生被歧视，康复患者被歧视，你我同为人类，我们应该如何面对身边的歧视行为？,认证个人,人类 做起 留学生 歧视 康复 歧视 人类 面对 歧视
【噩耗！#唐斯母亲因新冠病毒去世# [蜡烛]】森林狼发布通告，唐斯的母亲杰奎琳因感染新冠抢救无效去世，享年58岁。“杰奎琳最终因为新冠肺炎去世，这让唐斯家族非常难过。她已经与新冠肺炎斗争了超过一个月，但最终还是没能战胜病魔。”唐斯的父亲也感染了新冠肺炎，已经康复。,认证个人,噩耗 唐斯 母亲 去世 蜡烛 森林狼 发布 通告 唐斯 母亲 杰奎琳 去世 享年 杰奎琳 去世 唐斯 家族 难过 斗争 超过 战胜 病魔 唐斯 父亲 康复
【#韩国一航班被以色列拒绝后原路返回#】当地时间2月22日晚（北京时间2月23日凌晨），韩国大韩航空KE957航班降落以色列本古里安机场后，航班上近200名韩国等国（非以色列）乘客被拒绝进入以色列国土，12名以色列乘客被直接运送回家隔离14天。这架航班在完成加油和补充餐饮后，定于当地时间22日晚10点启程飞回韩国首尔。  以色列卫生部表示，连日来，韩国的新冠肺炎病例急剧增加，达到433人，其中包括9名刚刚在以色列结束旅程而确诊染病的韩国人。目前在以色列旅行的大约一千名韩国游客已被告知：避免进入公共场所，自觉隔离在旅馆中，等待有关部门采取相应措施。（央视）http://t.cn/A6h1OE5s,认证个人,韩国 航班 以色列 拒绝 原路 返回 时间 北京 时间 韩国 航空 航班 降落 以色列 古里安 机场 航班 韩国 以色列 乘客 拒绝 以色列 国土 以色列 乘客 运送 回家 隔离14天 航班 加油 补充 餐饮 定于 时间 启程 韩国 以色列 卫生部 韩国 增加 包括 以色列 结束 旅程 染病 韩国 以色列 旅行 韩国 游客 告知 公共场所 隔离 旅馆 等待 部门 采取相应 措施
#金在中确诊感染新冠肺炎# 不知道到底是不是玩笑！总觉得整件事怪怪的，感觉总有点儿都说不通，但是没事就好,认证个人,玩笑 整件事 感觉 不通 没事
#辽宁新增1例新冠肺炎#啊啊啊啊什么时候能去上学啊啊啊啊我想开学！！！！！！在家掉一根小小的头发都要被唠叨了嘤嘤嘤！,认证个人,辽宁 新增 啊啊啊 上学 啊啊啊 开学 头发
#广州111名非洲籍人士新冠检测呈阳性# 害，我可能6月份才开学？？ 为我的实验课表示担忧[打脸][打脸][打脸][打脸][打脸],认证个人,广州 非洲 人士 检测 阳性 月份 开学 实验课 担忧
向新冠肺炎疫情牺牲烈士和逝世同胞默哀3分钟。 #4月4日举行全国性哀悼活动##清明节##宁国[超话]# 宁国市 宁国美食指南的微博视频 显示地图,认证个人,牺牲 烈士 逝世 同胞 默哀 全国性 哀悼 活动 宁国 超话 宁国市 宁国 美食 指南
抗疫图卷时长9分钟，记录了抗击新冠肺炎疫情斗争中每个人的经历。愿逝者安息，生者奋发！致敬，缅怀！[心]星探大咖的微博视频,认证个人,抗疫 图卷 时长 记录 抗击 斗争 经历 逝者 安息 奋发 致敬 缅怀 探大 咖的
#新冠疫情下的众生# 交警会怜悯这位开五菱拉货的司机吗？,认证个人,众生 怜悯 开五菱拉货 司机
英镑/美元  　　上周英镑兑主要货币走强，但兑美元基本持稳。  　　展望本周，1.25似乎是上涨的一个重要心理关口。在1.2450/80水平尝试多次失败，意味着交易员更倾向于做空英镑，买入美元。鉴于这一价格走势，我们的架构已经转向做空架构，不过鉴于该汇价的波动性，可能会很快发生转变。  　　本周我们预计该汇价将走低至1.1933水平，跌破这一水平预计将有130-150点的下跌空间。  　　上行阻力可能仍位于1.25水平，而突破该位则存在同样的120-130点上涨空间，目标是1.26上方。  　　交易该货币对，可以观察欧元/英镑以及美元在当前新冠肺炎危机中的表现。#外汇#   开户链接：http://t.cn/E4As53e,认证个人,货币 走强 持稳 展望 上涨 心理 关口 水平 尝试 失败 意味着 交易员 倾向 买入 价格 走势 架构 转向 架构 汇价 波动性 发生 预计 汇价 走低 水平 跌破 水平 预计 下跌 空间 上行 阻力 位于 水平 突破 上涨 空间 目标 交易 货币 观察 欧元 危机 表现 外汇 开户 链接
【#北京# 今起开通个税年度汇算网上办 】时下热度不断增加的个税综合所得年度汇算4月10日正式在京启动，市民在网上即可轻松办理。随着本市新冠肺炎疫情防控形势逐渐向好，北京市税务局当日发布“关于开通手机个人所得税APP综合所得年度汇算功能的通告”，自即日起为本市纳税人开通手机个人所得税APP、网页端等个税综合所得年度汇算的远程办税渠道。 #北京[地点]# http://t.cn/A6wZeoxL http://mapi/606580aegy1gdofjzv7vjj20iw0fewi3,认证个人,北京 开通 年度 汇算 热度 增加 个税 综合 所得 年度 汇算 正式 启动 市民 轻松 办理 本市 疫情防控 形势 北京市 税务局 发布 开通 手机 综合 所得 年度 汇算 功能 通告 本市 纳税人 开通 手机 网页 个税 综合 所得 年度 汇算 远程 办税 渠道 北京 地点
"【中法双语新闻 | 停课不停学？中法两国共同面临的挑战】 法国迎来全面闭校的第一周，法国学生对此有何感想？中法两国学生又是如何在家上网课的？远程教学真的毫无缺陷吗？一起来看看中法两国共同面临的线上教学难题吧！En France, les élèves commencent à suivre des cours à distance depuis cette semaine, en raison de la fermeture des établissements scolaires annoncée la semaine dernière. Que pensent les étudiants français de cette fermeture scolaire ? Comment le télé-enseignement se passe-t-il en France et en Chine ? Les cours à distance n’ont-ils vraiment aucun défaut ? Observons de plus près ce défi commun pour ces deux pays. #停课不停学# #开学季# #共同战疫# #抗击新型肺炎第一线# #抗疫行动# #宅在家里都干啥#  http://t.cn/A6znqrcu",认证个人,双语 新闻 停课 中法两国 面临 挑战 法国 迎来 闭校 法国 学生 中法两国 学生 上网 远程教学 缺陷 中法两国 面临 教学 难题 停课 开学 战疫 抗击 抗疫
